channel,date,text,clean_text
@StockMarketChat,2024-11-01 05:28:16,Diwali muhurat trading schedule today👆🏻,diwali muhurat trading schedule today
@StockMarketChat,2024-10-30 03:10:22,,
@StockMarketChat,2024-10-29 03:39:09,,
@StockMarketChat,2024-10-25 16:23:11,"https://youtu.be/xUhhnKyJ__U?si=goc0Ct8Rz7SlUmi_

https://youtu.be/U6OkXS306vc?si=cK2yend167HY7v6e


https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","




"
@StockMarketChat,2024-10-25 16:23:08,"https://youtu.be/xUhhnKyJ__U?si=goc0Ct8Rz7SlUmi_

https://youtu.be/U6OkXS306vc?si=cK2yend167HY7v6e


https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","




"
@StockMarketChat,2024-10-25 09:13:07,"49800 pe👆🏻
123 to 194
71 points till
💸💸💸💸💸💸💸💸
Tgt 1 done
Near tgt 2 - 80 points","49800 pe
123 to 194
71 points till

tgt 1 done
near tgt 2  80 points"
@StockMarketChat,2024-10-25 08:50:24,"49800 pe👆🏻
123 to 173
50 points till
💸💸💸💸💸💸💸💸
Tgt 1 done","49800 pe
123 to 173
50 points till

tgt 1 done"
@StockMarketChat,2024-10-25 07:56:39,"Small premium options👇

Buy bank nifty 49800 pe
125-105
Sl 40 points 
Tgt 40/80/120+ points 


Disclaimer :  above views are  for educational purposes paper trades only .👆

100% free options, equity stocks commodity views 👇👇👇
https://t.me/+UuWRcZBu2bmR3FHV","small premium options

buy bank nifty 49800 pe
125105
sl 40 points 
tgt 4080120 points 


disclaimer   above views are  for educational purposes paper trades only 

100 free options equity stocks commodity views 
"
@StockMarketChat,2024-10-24 16:57:07,"https://youtu.be/U6OkXS306vc?si=cK2yend167HY7v6e


Get latest market analysis news
Subscribe us now youtube 👇

https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","


get latest market analysis news
subscribe us now youtube 

"
@StockMarketChat,2024-10-24 16:57:04,"https://youtu.be/U6OkXS306vc?si=cK2yend167HY7v6e


Get latest market analysis news
Subscribe us now youtube 👇

https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","


get latest market analysis news
subscribe us now youtube 

"
@StockMarketChat,2024-10-24 09:28:39,"Bnf 50800👆🏻
116 to 166💸💸💸💸
50 points
Tgt 1 done 
2 hrs for just 50 points 


Either in nifty premium decay is more than  bnf today","bnf 50800
116 to 166
50 points
tgt 1 done 
2 hrs for just 50 points 


either in nifty premium decay is more than  bnf today"
@StockMarketChat,2024-10-24 08:22:19,116 to 138👆,116 to 138
@StockMarketChat,2024-10-24 07:27:32,"Small premium options👇

Buy bank nifty 50800 pe
130-110
Sl 40 points 
Tgt 40/80/120+ points 


Disclaimer :  above views are  for educational purposes paper trades only .👆

100% free options, equity stocks commodity views 👇👇👇
https://t.me/+UuWRcZBu2bmR3FHV","small premium options

buy bank nifty 50800 pe
130110
sl 40 points 
tgt 4080120 points 


disclaimer   above views are  for educational purposes paper trades only 

100 free options equity stocks commodity views 
"
@StockMarketChat,2024-10-23 17:45:56,"https://youtu.be/llOKS_z9-pc?si=ZsLjW_r44ZXEfqBJ



Get latest market analysis news
Subscribe us now youtube 👇

https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","



get latest market analysis news
subscribe us now youtube 

"
@StockMarketChat,2024-10-23 17:45:53,"https://youtu.be/llOKS_z9-pc?si=ZsLjW_r44ZXEfqBJ



Get latest market analysis news
Subscribe us now youtube 👇

https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","



get latest market analysis news
subscribe us now youtube 

"
@StockMarketChat,2024-10-23 07:21:25,"The market is very choppy today
Premium decaying due to bull bears fighting on bank nifty expiry","the market is very choppy today
premium decaying due to bull bears fighting on bank nifty expiry"
@StockMarketChat,2024-10-23 06:05:50,"Small premium options👇

Buy bank nifty 51200 ce
125-105
Sl 40 points 
Tgt 40/80/120+ points 


Disclaimer :  above views are  for educational purposes paper trades only .👆

100% free options, equity stocks commodity views 👇👇👇
https://t.me/+UuWRcZBu2bmR3FHV","small premium options

buy bank nifty 51200 ce
125105
sl 40 points 
tgt 4080120 points 


disclaimer   above views are  for educational purposes paper trades only 

100 free options equity stocks commodity views 
"
@StockMarketChat,2024-10-22 20:24:55,,
@StockMarketChat,2024-10-22 18:19:54,"https://youtu.be/X4NuP9UmjbA?si=dreBId3MJw5r4DLz


Get latest market analysis news
Subscribe us now youtube 👇

https://youtube.com/@sharebazaarupdates?si=uplQgV1knxqVUNVG","


get latest market analysis news
subscribe us now youtube 

"
@StockMarketChat,2024-10-22 07:52:38,"129 to 166👆🏻
💸💸💸💸
Near tgt 1","129 to 166

near tgt 1"
@StockMarketChat,2024-10-22 07:44:15,"Small premium options👇

Buy bank nifty 51300 pe
135-115
Sl 40 points 
Tgt 40/80/120+ points 


Disclaimer :  above views are  for educational purposes paper trades only .👆

100% free options, equity stocks commodity views 👇👇👇
https://t.me/+UuWRcZBu2bmR3FHV","small premium options

buy bank nifty 51300 pe
135115
sl 40 points 
tgt 4080120 points 


disclaimer   above views are  for educational purposes paper trades only 

100 free options equity stocks commodity views 
"
